string                                                      40
string    A                                                 48
string    AB                                                48
string    ABC                                               48
string    ABCD                                              48
string    ABCDE                                             56
string    ABCDEF                                            56
string    ABCDEFG                                           56
string    ABCDEFGH                                          56
string    ABCDEFGHI                                         64
string    ABCDEFGHIJ                                        64
string    ABCDEFGHIJK                                       64
string    ABCDEFGHIJKL                                      64
string    ABCDEFGHIJKLM                                     72
string    ABCDEFGHIJKLMN                                    72
string    ABCDEFGHIJKLMNO                                   72
string    ABCDEFGHIJKLMNOP                                  72
string    ABCDEFGHIJKLMNOPQ                                 80
string    ABCDEFGHIJKLMNOPQR                                80
string    ABCDEFGHIJKLMNOPQRS                               80
string    ABCDEFGHIJKLMNOPQRST                              80
string    ABCDEFGHIJKLMNOPQRSTU                             88
string    ABCDEFGHIJKLMNOPQRSTUV                            88
string    ABCDEFGHIJKLMNOPQRSTUVW                           88
string    ABCDEFGHIJKLMNOPQRSTUVWX                          88
string    ABCDEFGHIJKLMNOPQRSTUVWXY                         96
literal   Flag(true)                                        16
literal   Flag(false)                                       16
literal   Real(1.7976931348623157E308)                      24
literal   Real(4.9E-324)                                    24
literal   Text()                                            56
literal   Text(A)                                           64
literal   Text(AB)                                          64
literal   Text(ABC)                                         64
literal   Text(ABCD)                                        64
literal   Text(ABCDE)                                       72
literal   Text(ABCDEF)                                      72
literal   Text(ABCDEFG)                                     72
literal   Text(ABCDEFGH)                                    72
literal   Text(ABCDEFGHI)                                   80
literal   Text(ABCDEFGHIJ)                                  80
literal   Text(ABCDEFGHIJK)                                 80
literal   Text(ABCDEFGHIJKL)                                80
literal   Text(ABCDEFGHIJKLM)                               88
literal   Text(ABCDEFGHIJKLMN)                              88
literal   Text(ABCDEFGHIJKLMNO)                             88
literal   Text(ABCDEFGHIJKLMNOP)                            88
literal   Text(ABCDEFGHIJKLMNOPQ)                           96
literal   Text(ABCDEFGHIJKLMNOPQR)                          96
literal   Text(ABCDEFGHIJKLMNOPQRS)                         96
literal   Text(ABCDEFGHIJKLMNOPQRST)                        96
literal   Text(ABCDEFGHIJKLMNOPQRSTU)                       104
literal   Text(ABCDEFGHIJKLMNOPQRSTUV)                      104
literal   Text(ABCDEFGHIJKLMNOPQRSTUVW)                     104
literal   Text(ABCDEFGHIJKLMNOPQRSTUVWX)                    104
literal   Text(ABCDEFGHIJKLMNOPQRSTUVWXY)                   112
revision  Revision(1,Flag(true))                            40
revision  Revision(1,Flag(false))                           40
revision  Revision(1,Real(1.7976931348623157E308))          48
revision  Revision(1,Real(4.9E-324))                        48
revision  Revision(1,Text())                                80
revision  Revision(1,Text(A))                               88
revision  Revision(1,Text(AB))                              88
revision  Revision(1,Text(ABC))                             88
revision  Revision(1,Text(ABCD))                            88
revision  Revision(1,Text(ABCDE))                           96
revision  Revision(1,Text(ABCDEF))                          96
revision  Revision(1,Text(ABCDEFG))                         96
revision  Revision(1,Text(ABCDEFGH))                        96
revision  Revision(1,Text(ABCDEFGHI))                       104
revision  Revision(1,Text(ABCDEFGHIJ))                      104
revision  Revision(1,Text(ABCDEFGHIJK))                     104
revision  Revision(1,Text(ABCDEFGHIJKL))                    104
revision  Revision(1,Text(ABCDEFGHIJKLM))                   112
revision  Revision(1,Text(ABCDEFGHIJKLMN))                  112
revision  Revision(1,Text(ABCDEFGHIJKLMNO))                 112
revision  Revision(1,Text(ABCDEFGHIJKLMNOP))                112
revision  Revision(1,Text(ABCDEFGHIJKLMNOPQ))               120
revision  Revision(1,Text(ABCDEFGHIJKLMNOPQR))              120
revision  Revision(1,Text(ABCDEFGHIJKLMNOPQRS))             120
revision  Revision(1,Text(ABCDEFGHIJKLMNOPQRST))            120
revision  Revision(1,Text(ABCDEFGHIJKLMNOPQRSTU))           128
revision  Revision(1,Text(ABCDEFGHIJKLMNOPQRSTUV))          128
revision  Revision(1,Text(ABCDEFGHIJKLMNOPQRSTUVW))         128
revision  Revision(1,Text(ABCDEFGHIJKLMNOPQRSTUVWX))        128
revision  Revision(1,Text(ABCDEFGHIJKLMNOPQRSTUVWXY))       136
